GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
pa-web-server,default,Main,47,0,2,0,17,0,3,0,2,0
pa-web-server,core,RequestHandler,10,250,0,12,2,65,0,13,0,7
pa-web-server,core,ThreadPool,0,80,0,6,0,19,0,7,0,4
pa-web-server,core,MainHTTPServerThread,21,115,0,0,2,22,0,4,0,4
pa-web-server,core,WorkerThread,0,38,1,1,0,15,1,2,0,2
pa-web-server,utils,FileService,14,123,1,5,3,26,1,6,0,4
pa-web-server,utils,FileMonitor,0,42,0,2,0,10,0,6,0,5
pa-web-server,utils,HeaderBuilder,0,45,0,0,0,9,0,3,0,3
pa-web-server,utils,RequestValidator,0,27,1,3,0,6,1,4,0,3
pa-web-server,logging,Logger,87,232,9,16,17,53,7,19,0,11
pa-web-server,logging,LogProducer,0,5,0,0,0,2,0,1,0,1
pa-web-server,logging,LogType,0,27,0,0,0,5,0,1,0,1
pa-web-server,logging,LogLocation,0,21,0,0,0,4,0,1,0,1
pa-web-server,logging,LoggingTask,6,33,3,3,0,10,3,5,0,5
pa-web-server,logging,SharedBuffer,0,5,0,0,0,1,0,1,0,1
pa-web-server,config,ServerConfig,45,214,3,11,9,54,3,15,0,11
pa-web-server,Cache,CacheManager,16,170,2,8,9,42,2,10,0,7
pa-web-server,Cache,CacheEntry,0,18,0,0,0,7,0,3,0,3
pa-web-server,Cache,CacheManagerSingleton,0,7,0,0,0,2,0,2,0,2
